"genre","avg_vote","income"
"Comedy, Drama, Family",5.3,57.814
"Comedy, Drama",7.3,7.215
"Comedy",5.7,108.007
"Comedy",6.2,118.103
"Comedy, Drama, Romance",6.6,43.763
"Action, Horror, Sci-Fi",5.8,8.809
"Drama, Thriller",7.5,9.916
"Drama, Thriller",7.5,30.312
"Action, Crime, Drama",7.4,52.186
"Drama, Sci-Fi",5.9,3.990
"Comedy, Drama",7.2,9.029
"Animation, Adventure, Comedy",6.8,183.389
"Biography, Drama",6.7,7.995
"Comedy, Drama",6.1,42.581
"Comedy",6.2,183.936
"Comedy",3.5,22.228
"Biography, Drama, Romance",7,12.957
"Comedy, Drama, Fantasy",6.2,4.531
"Drama, Romance",6.8,88.528
"Action, Adventure, Comedy",5.8,102.205
"Comedy, Drama, Fantasy",6.2,553.810
"Drama, Mystery, Thriller",6.1,2.840
"Comedy, Fantasy",6,4.928
"Animation, Adventure, Comedy",5.4,40.075
"Drama, Fantasy, Horror",6.4,26.620
"Action, Adventure, Drama",6,12.449
"Biography, Drama, History",6.5,2.510
"Drama, Horror, Mystery",6.3,148.869
"Comedy, Drama, Romance",5.7,48.783
"Drama",4.4,24.488
"Biography, Drama, History",7.8,235.957
"Comedy, Romance",4.9,10.415
"Comedy, Drama, Family",6.2,2.308
"Action, Drama, Thriller",7.1,54.491
"Drama",6.7,2.009
"Crime, Drama",7.3,2.030
"Action, Drama, History",6.2,2.750
"Biography, Drama",5.9,2.083
"Drama, Fantasy, Horror",7,3.097
"Horror, Thriller",7.3,278.454
"Drama",7.4,65.337
"Horror, Mystery, Thriller",7.4,49.852
"Drama",7.5,3.086
"Comedy, Drama, Romance",7.4,9.588
"Animation, Drama, Fantasy",8.4,358.923
"Action, Horror, Thriller",7.6,92.755
"Action, Adventure, Fantasy",7.4,821.847
"Comedy, Crime, Drama",5.7,12.752
"Drama, History, Romance",6.2,9.205
"Action, Comedy, Crime",6,26.800
"Drama, Horror, Mystery",4.5,83.081
"Action, Adventure, Fantasy",6.3,681.872
"Action, Crime, Drama",6.3,169.802
"Biography, Drama",6.6,6.424
"Action, Adventure, Thriller",5.2,346.118
"Drama, Sci-Fi",5.7,55.004
"Horror",7.3,701.796
"Comedy, Drama, Romance",5.8,5.042
"Action, Crime, Drama",5.9,34.814
"Action, Comedy, Crime",5.5,177.857
"Biography, Drama, Musical",7.6,435.086
"Action, Thriller",7,145.418
"Action, Adventure, Fantasy",5.6,113.231
"Biography, Drama, Music",5.8,55.669
"Drama, Fantasy, Mystery",6.4,16.374
"Biography, Drama, History",6.6,4.870
"Biography, Drama, History",7,26.153
"Adventure, Comedy, Drama",7.2,205.737
"Crime, Drama, Mystery",5.1,43.155
"Action, Adventure, Fantasy",6.6,794.879
"Action, Drama, Mystery",8,259.240
"Action, Comedy, Crime",6.9,176.600
"Action, Thriller",6.2,67.234
"Comedy, Drama",5.5,25.601
"Action, Adventure, Drama",6.7,148.675
"Action, Sci-Fi, Thriller",5.3,221.600
"Comedy, Drama",6.9,125.856
"Drama, Horror, Mystery",5.2,45.158
"Action, Crime, Thriller",5.6,32.917
"Animation, Action, Comedy",6.2,125.428
"Biography, Drama, History",6.5,12.217
"Action, Adventure, Drama",6.4,62.832
"Action, Adventure, Fantasy",6.5,225.874
"Action, Adventure, Sci-Fi",7.4,880.167
"Action, Adventure, Comedy",6.9,962.102
"Horror, Sci-Fi, Thriller",6.4,240.892
"Action, Adventure, Comedy",4.5,60.846
"Action, Adventure, Fantasy",5.4,409.232
"Biography, Drama",7.1,22.089
"Animation, Adventure, Family",8.4,807.084
"Animation, Adventure, Comedy",6,197.184
"Action, Thriller",6.7,100.014
"Action, Adventure, Fantasy",7,1332.540
"Drama, Family",8,323.254
"Comedy, Crime",6.6,84.919
"Biography, Drama, History",6.1,6.724
"Drama",7.2,41.682
"Family, Fantasy, Musical",7.1,1264.064
"Biography, Drama, War",6.5,9.996
"Drama, Fantasy",6.3,96.942
"Adventure, Drama, Horror",5.6,62.198
"Animation, Action, Adventure",6,123.082
"Drama",6.5,12.056
"Animation, Biography, Crime",7.8,42.188
"Action, Drama, Sci-Fi",8.1,619.021
"Adventure, Biography, Drama",6,4.536
"Horror, Mystery",5.8,102.953
"Action, Adventure, Sci-Fi",5.2,605.425
"Comedy",5.6,41.087
"Crime, Drama, Mystery",6.5,352.790
"Animation, Adventure, Comedy",6.7,296.069
"Action, Adventure, Drama",7.4,490.720
"Drama, Thriller",5.1,17.768
"Animation, Adventure, Comedy",6.3,1034.799
"Animation, Adventure, Comedy",5.4,68.743
"Action, Adventure, Comedy",7.9,853.979
"Biography, Comedy, Drama",7.4,29.821
"Action, Biography, Comedy",7.2,134.867
"Adventure, Comedy, Drama",6.2,140.552
"Animation, Adventure, Comedy",6.7,383.931
"Action, Adventure, Sci-Fi",5.9,142.337
"Action, Adventure, Fantasy",6.6,566.653
"Action, Biography, Drama",7.6,26.351
"Animation, Adventure, Comedy",6.3,527.966
"Biography, Drama",6.9,8.504
"Action, Crime, Drama",7.6,226.945
"Action, Adventure, Comedy",7.6,863.756
"Drama, Romance, Sci-Fi",6.4,16.080
"Drama, Fantasy, Horror",4.2,29.874
"Animation, Action, Comedy",7.3,311.950
"Animation, Adventure, Comedy",6.1,60.331
"Biography, Crime, Drama",7.4,59.284
"Action, Adventure, Comedy",5.2,257.750
"Drama, Sci-Fi, Thriller",5.3,40.656
"Action, Crime, Thriller",7.5,173.419
"Drama, Romance",4.6,381.546
"Adventure, Comedy, Family",7.8,227.979
"Drama",7.6,43.069
"Comedy, Crime",5.6,34.185
"Comedy, Drama, Family",6.7,15.846
"Biography, Drama, History",7.4,153.130
"Crime, Drama, Thriller",6.6,4.597
"Animation, Adventure, Comedy",6.2,84.316
"Biography, Comedy, Drama",6.7,18.599
"Action, Adventure, Crime",6.7,1236.005
"Action, Adventure, Comedy",6.7,410.903
"Drama",6.1,5.943
"Biography, Crime, Drama",6.3,17.536
"Comedy, Drama, History",7.2,24.646
"Horror, Mystery",6.2,19.735
"Comedy, Music",5.8,185.400
"Comedy, Drama",6,62.547
"Comedy, Crime, Thriller",5.2,47.347
"Crime, Drama, Thriller",7.4,3.283
"Animation, Adventure, Comedy",3.3,217.777
"Comedy, Drama",7.4,79.097
"Drama, Romance",6.4,61.621
"Action, Drama, History",7.9,526.949
"Comedy, Crime, Drama",8.2,160.192
"Horror, Mystery, Thriller",7.7,272.500
"Biography, Drama, History",7.3,10.899
"Drama, Horror, Mystery",6.6,44.517
"Horror, Mystery, Thriller",6.5,306.516
"Comedy, Drama",7.2,4.283
"Biography, Drama",6.8,1.792
"Comedy, Drama",6.9,11.626
"Drama, History, Thriller",6.5,18.263
"Adventure, Comedy, Family",5.4,247.585
"Biography, Crime, Drama",6.8,56.996
"Biography, Crime, Drama",7.2,10.117
"Drama",6.7,2.611
