"genre","avgVote","income"
"Action, Drama, War",7.3,69411370
"Comedy, Horror",4.8,9097072
"Biography, Drama, History",6.4,16779212
"Action, Thriller",6.6,415484914
"Biography, Drama, Family",7.1,73983003
"Biography, Drama",7.2,24121245
"Drama, Romance",6.8,5401447
"Animation, Action, Adventure",7.8,76249438
"Drama, Mystery, Romance",7.1,22468044
"Biography, Drama, Sport",7.4,10367161
"Drama, Horror, Mystery",6.1,81705746
"Drama, History",7.3,7400324
"Comedy, Drama, Family",5.3,57814445
"Comedy, Drama",7.3,7214806
"Comedy",5.7,108007109
"Comedy",6.2,118102725
"Comedy, Drama, Romance",6.6,43763247
"Action, Horror, Sci-Fi",5.8,8809407
"Drama, Thriller",7.5,9915800
"Drama, Thriller",7.5,30311857
"Action, Crime, Drama",7.4,52185751
"Drama, Sci-Fi",5.9,3989705
"Comedy, Drama",7.2,9029150
"Animation, Adventure, Comedy",6.8,183388953
"Biography, Drama",6.7,7994527
"Comedy, Drama",6.1,42580920
"Comedy",6.2,183936074
"Comedy",3.5,22227514
"Biography, Drama, Romance",7,12957265
"Comedy, Drama, Fantasy",6.2,4531320
"Drama, Romance",6.8,88528280
"Action, Adventure, Comedy",5.8,102205175
"Comedy, Drama, Fantasy",6.2,553810228
"Drama, Mystery, Thriller",6.1,2840408
"Comedy, Fantasy",6,4928465
"Animation, Adventure, Comedy",5.4,40075446
"Drama, Fantasy, Horror",6.4,26620002
"Action, Adventure, Drama",6,12448676
"Biography, Drama, History",6.5,2510151
"Drama, Horror, Mystery",6.3,148868835
"Comedy, Drama, Romance",5.7,48782670
"Drama",4.4,24487848
"Biography, Drama, History",7.8,235956898
"Comedy, Romance",4.9,10414738
"Comedy, Drama, Family",6.2,2308355
"Action, Drama, Thriller",7.1,54491162
"Drama",6.7,2008649
"Crime, Drama",7.3,2029693
"Action, Drama, History",6.2,2749918
"Biography, Drama",5.9,2082980
"Drama, Fantasy, Horror",7,3096815
"Horror, Thriller",7.3,278454358
"Drama",7.4,65336603
"Horror, Mystery, Thriller",7.4,49851770
"Drama",7.5,3085977
"Comedy, Drama, Romance",7.4,9588282
"Animation, Drama, Fantasy",8.4,358922706
"Action, Horror, Thriller",7.6,92754562
"Action, Adventure, Fantasy",7.4,821847012
"Comedy, Crime, Drama",5.7,12751667
"Drama, History, Romance",6.2,9204549
"Action, Comedy, Crime",6,26800152
"Drama, Horror, Mystery",4.5,83080890
"Action, Adventure, Fantasy",6.3,681871991
"Action, Crime, Drama",6.3,169801921
"Biography, Drama",6.6,6423605
"Action, Adventure, Thriller",5.2,346118277
"Drama, Sci-Fi",5.7,55003890
"Horror",7.3,701796444
"Comedy, Drama, Romance",5.8,5042014
"Action, Crime, Drama",5.9,34814102
"Action, Comedy, Crime",5.5,177856751
"Biography, Drama, Musical",7.6,435086403
